date,hash,message,author_name,url
2020-04-01T08:07:05Z,cd30633d1092366dc5cc44adca1cd3675de9cf39,"Do not go down the regex search path (which is expensive because we need
to convert the grid data into a string for regexec and reverse it to
find the grid position) if the search string does not contain any regex
special characters.",nicm,https://github.com/tmux/tmux/commit/cd30633d1092366dc5cc44adca1cd3675de9cf39
2020-04-01T08:07:05Z,b66d62d2d05fcb889680c5d844d68ffcef6e9689,"Do not go down the regex search path (which is expensive because we need
to convert the grid data into a string for regexec and reverse it to
find the grid position) if the search string does not contain any regex
special characters.",nicm,https://github.com/tmux/tmux/commit/b66d62d2d05fcb889680c5d844d68ffcef6e9689
2020-04-01T07:52:07Z,c129ed3233d8303f3ae1fc14a9728e8d231c3911,Use a comparison to check for wrap and avoid an expensive modulus.,nicm,https://github.com/tmux/tmux/commit/c129ed3233d8303f3ae1fc14a9728e8d231c3911
2020-04-01T07:52:07Z,46092f27605de183056f39fd0859af11ae284041,Use a comparison to check for wrap and avoid an expensive modulus.,nicm,https://github.com/tmux/tmux/commit/46092f27605de183056f39fd0859af11ae284041
2020-04-01T07:35:10Z,89d2a20e561878f3fee11005369c1d56b9a08c38,"Performance improvements for regex searching, most notably:

- Use the grid data directly instead of copying it.

- Special case the most typical one byte character cells and use memcmp
  for multiple bytes instead of a handrolled loop.

- Hoist regcomp out of the loop into the calling functions.

GitHub issue 2143.

Also a man page from from jmc@.",nicm,https://github.com/tmux/tmux/commit/89d2a20e561878f3fee11005369c1d56b9a08c38
2020-04-01T07:35:10Z,46ed81fc45c26e383e6bb97b0bf624a3087b217f,"Performance improvements for regex searching, most notably:

- Use the grid data directly instead of copying it.

- Special case the most typical one byte character cells and use memcmp
  for multiple bytes instead of a handrolled loop.

- Hoist regcomp out of the loop into the calling functions.

GitHub issue 2143.

Also a man page from from jmc@.",nicm,https://github.com/tmux/tmux/commit/46ed81fc45c26e383e6bb97b0bf624a3087b217f
2020-03-31T23:01:25Z,bb6630af3171fd87a1ed98f7fc74f66d569315b8,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/bb6630af3171fd87a1ed98f7fc74f66d569315b8
2020-03-31T19:01:34Z,dfd29977e0ab289615eae0b4275763a3082bda24,Merge branch 'obsd-master',Thomas Adam,https://github.com/tmux/tmux/commit/dfd29977e0ab289615eae0b4275763a3082bda24
2020-03-31T17:14:40Z,38f1546a667c014a77778f6dd91898dbf41b077f,"Add a way to mark environment variables as ""hidden"" so they can be used
by tmux but are not passed into the environment of new panes.",nicm,https://github.com/tmux/tmux/commit/38f1546a667c014a77778f6dd91898dbf41b077f
2020-03-31T17:14:40Z,cc8b41f294974cdfb1ddfe3b907da58374ff130f,"Add a way to mark environment variables as ""hidden"" so they can be used
by tmux but are not passed into the environment of new panes.",nicm,https://github.com/tmux/tmux/commit/cc8b41f294974cdfb1ddfe3b907da58374ff130f
